 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.553084,4.44088,-0.0480655,3.13582,0,6.54534,0.858221,0.754179,-0.999083,0.0428166,5.24871,0.0545314,-12.7896,-14.4005,-14.1996,-13.647,5.21197,5.281,5.27239
0.55103,4.43198,-0.048281,3.13341,0.0545314,6.57917,0.858221,0.754179,-0.998911,0.046663,5.19215,0.0548401,-12.7923,-14.4029,-14.2,-13.6496,5.1521,5.22734,5.21786
0.548902,4.42309,-0.0461655,3.13104,0.109371,6.61277,0.859774,0.754954,-0.998734,0.0503073,5.13541,0.0551359,-12.7936,-14.4063,-14.2005,-13.6523,5.09216,5.17339,5.16302
0.546705,4.41422,-0.0442837,3.12878,0.164507,6.64613,0.8726,0.761745,-0.998554,0.0537536,5.07851,0.055419,-12.7839,-14.4159,-14.2012,-13.6553,5.0316,5.11945,5.10789
0.544446,4.40537,-0.042266,3.12662,0.219926,6.67925,0.889548,0.772256,-0.998374,0.0570055,5.02144,0.0556896,-12.7703,-14.4294,-14.202,-13.6584,4.97073,5.06547,5.05248
0.542127,4.38772,-0.0379142,3.1226,0.275616,6.74482,0.90708,0.783202,-0.998194,0.0600665,4.96423,0.0559475,-12.7564,-14.4436,-14.203,-13.6618,4.90975,5.01128,4.9968
0.539753,4.37892,-0.0356092,3.12077,0.331564,6.77727,0.91542,0.78458,-0.998017,0.0629397,4.90689,0.0561927,-12.7517,-14.4484,-14.204,-13.6653,4.84927,4.95627,4.94086
0.537328,4.37014,-0.033231,3.11904,0.387756,6.8095,0.91931,0.78069,-0.997844,0.0656283,4.84942,0.0564253,-12.7517,-14.448,-14.2052,-13.669,4.78908,4.90065,4.88468
0.534853,4.36137,-0.0307848,3.11744,0.444182,6.84151,0.922967,0.777033,-0.997676,0.068135,4.79183,0.0566455,-12.7521,-14.4481,-14.2065,-13.6729,4.72894,4.84477,4.82827
0.53233,4.35263,-0.0282764,3.11597,0.500827,6.87331,0.917471,0.782529,-0.997514,0.0704624,4.73413,0.0568531,-12.7617,-14.4575,-14.2079,-13.6769,4.66949,4.78927,4.77164
0.529762,4.3439,-0.0257012,3.11462,0.55768,6.9049,0.881236,0.818764,-0.99736,0.0726129,4.67634,0.0570483,-12.8021,-14.4977,-14.2094,-13.6811,4.61235,4.73579,4.71481
0.527149,4.33519,-0.0230821,3.1134,0.614728,6.93628,0.885527,0.814473,-0.997214,0.0745886,4.61846,0.0572309,-12.8023,-14.4975,-14.211,-13.6853,4.55241,4.67921,4.65778
0.524492,4.32649,-0.0204254,3.11231,0.671959,6.96746,0.889885,0.810114,-0.997078,0.0763915,4.56051,0.0574014,-12.8024,-14.4975,-14.2127,-13.6897,4.49253,4.6224,4.60058
0.521792,4.30916,-0.0150221,3.11054,0.729361,7.02922,0.894543,0.805457,-0.996951,0.0780233,4.50249,0.0575595,-12.8024,-14.4972,-14.2144,-13.6942,4.43269,4.56533,4.5432
0.519049,4.30052,-0.0122866,3.10985,0.78692,7.05981,0.898955,0.801045,-0.996836,0.0794857,4.44441,0.0577053,-12.8027,-14.4973,-14.2162,-13.6988,4.37296,4.50808,4.48567
0.516262,4.29189,-0.0095352,3.10931,0.844626,7.0902,0.903717,0.796283,-0.996732,0.0807799,4.38629,0.057839,-12.8027,-14.4972,-14.218,-13.7035,4.31329,4.45061,4.42799
0.513431,4.28329,-0.006771,3.1089,0.902465,7.1204,0.908274,0.791726,-0.99664,0.0819072,4.32813,0.0579606,-12.803,-14.4973,-14.2199,-13.7082,4.25374,4.39298,4.37019
0.510556,4.2747,-0.0039989,3.10863,0.960425,7.15041,0.913231,0.786769,-0.99656,0.0828686,4.26995,0.05807,-12.8029,-14.4971,-14.2218,-13.713,4.19427,4.33515,4.31226
0.507636,4.26613,-0.0012292,3.1085,1.0185,7.18024,0.852948,0.781818,-0.996494,0.0836649,4.21175,0.0581675,-12.8679,-14.497,-14.2238,-13.7179,4.14039,4.27716,4.25422
0.504669,4.24903,0.0042852,3.10865,1.07666,7.23935,0.822886,0.777115,-0.996441,0.0842965,4.15354,0.0582531,-12.9028,-14.4972,-14.2257,-13.7228,4.08417,4.21905,4.19608
0.501657,4.24051,0.0070212,3.10894,1.13492,7.26864,0.827916,0.772084,-0.996401,0.0847641,4.09534,0.0583267,-12.9028,-14.497,-14.2276,-13.7277,4.02516,4.16078,4.13786
0.498597,4.23201,0.0097373,3.10936,1.19324,7.29775,0.832774,0.767226,-0.996375,0.0850677,4.03715,0.0583885,-12.9029,-14.4971,-14.2295,-13.7327,3.96631,4.10242,4.07957
0.495489,4.22352,0.0124284,3.10991,1.25163,7.32669,0.837895,0.762105,-0.996363,0.0852075,3.97899,0.0584386,-12.9028,-14.497,-14.2314,-13.7377,3.90759,4.04392,4.02121
0.492332,4.21505,0.0150842,3.1106,1.31007,7.35546,0.838671,0.753252,-0.996365,0.0851832,3.92086,0.0584769,-12.907,-14.4932,-14.2332,-13.7426,3.84942,3.98502,3.9628
0.489126,4.2066,0.0177038,3.11142,1.36855,7.38405,0.829301,0.73368,-0.996381,0.0849945,3.86277,0.0585036,-12.9213,-14.4786,-14.235,-13.7476,3.79229,3.92513,3.90435
0.485871,4.18975,0.0228174,3.11345,1.42705,7.44075,0.820172,0.714874,-0.996412,0.0846409,3.80474,0.0585187,-12.9353,-14.4649,-14.2367,-13.7525,3.73532,3.86525,3.84587
0.482566,4.18134,0.0253032,3.11465,1.48557,7.46885,0.814569,0.699233,-0.996456,0.0841216,3.74678,0.0585223,-12.9458,-14.4542,-14.2383,-13.7575,3.67826,3.8056,3.78737
0.479212,4.17296,0.0277361,3.11597,1.54409,7.49679,0.813958,0.68916,-0.996513,0.0834357,3.68889,0.0585143,-12.9512,-14.4491,-14.2399,-13.7623,3.62097,3.74639,3.72887
0.475811,4.16459,0.0301064,3.11742,1.60261,7.52457,0.817353,0.682647,-0.996584,0.0825821,3.63108,0.0584949,-12.9526,-14.4475,-14.2413,-13.7671,3.56358,3.68746,3.67037
0.472362,4.15624,0.0324008,3.11898,1.6611,7.55219,0.822126,0.677874,-0.996668,0.0815594,3.57337,0.0584642,-12.9525,-14.4475,-14.2427,-13.7719,3.50632,3.62866,3.6119
0.468867,-6.26545,0.0346257,3.12066,1.71956,7.57966,0.826865,0.673135,-0.996765,0.0803661,3.51576,0.0584221,-12.9524,-14.4475,-14.2439,-13.7766,3.44931,3.56986,3.55344
0.465329,-10.8643,0.0388489,3.12434,1.77799,7.46521,0.831317,0.668683,-0.996875,0.0790005,3.45827,0.0583689,-12.9524,-14.4478,-14.245,-13.7812,3.3926,3.5111,3.49503
0.46175,-10.7849,0.040838,3.12633,1.83636,7.39209,0.836159,0.663841,-0.996995,0.0774605,3.40091,0.0583043,-12.952,-14.4475,-14.246,-13.7857,3.33614,3.45233,3.43667
0.458134,-10.7148,0.042739,3.12842,1.89466,7.31878,0.840424,0.659576,-0.997127,0.075744,3.34367,0.0582287,-12.9521,-14.4477,-14.2469,-13.7901,3.28002,3.39363,3.37837
0.454483,-10.6544,0.0445373,3.1306,1.95289,7.24521,0.844596,0.655404,-0.99727,0.0738486,3.28659,0.0581421,-12.9521,-14.448,-14.2476,-13.7943,3.22421,3.33499,3.32015
0.450802,-10.6029,0.0462182,3.13287,2.01103,7.1713,0.848757,0.651243,-0.997421,0.0717716,3.22966,0.0580444,-12.9519,-14.4481,-14.2481,-13.7985,3.16874,3.2764,3.26201
0.447097,-10.56,0.0477926,3.13522,2.06907,7.09699,0.852761,0.647239,-0.997581,0.0695103,3.17289,0.0579358,-12.9518,-14.4482,-14.2485,-13.8025,3.11361,3.21788,3.20397
0.443373,-10.18,0.0517665,3.14016,2.12701,6.94726,0.8566,0.6434,-0.997749,0.0670614,3.1163,0.0578166,-12.9517,-14.4484,-14.2488,-13.8064,3.05885,3.15945,3.14603
0.439636,-9.56617,0.0585749,-3.14032,2.18483,6.8736,0.860364,0.639636,-0.997923,0.0644218,3.05989,0.0576877,-12.9515,-14.4484,-14.2488,-13.8101,3.00447,3.1011,3.08822
0.435877,-8.89203,0.0726316,-3.13705,2.24252,6.80366,0.863898,0.636102,-0.998102,0.0615877,3.00368,0.0575508,-12.9514,-14.4486,-14.2487,-13.8137,2.95048,3.04286,3.03053
0.432062,-8.26178,0.0885101,-3.13302,2.30007,6.738,0.867271,0.632729,-0.998284,0.0585553,2.94768,0.0574071,-12.9513,-14.4487,-14.2484,-13.817,2.8969,2.98473,2.97298
0.428146,-7.66827,0.103918,-3.12821,2.35747,6.67641,0.870455,0.629545,-0.998469,0.0553205,2.89189,0.0572564,-12.9511,-14.4488,-14.2477,-13.8202,2.84374,2.92672,2.91558
0.424083,-7.10902,0.118934,-3.12264,2.41473,6.61873,0.873409,0.626591,-0.998653,0.0518789,2.83633,0.0570991,-12.951,-14.449,-14.2467,-13.8232,2.79102,2.86883,2.85833
0.419832,-6.58185,0.133542,-3.11632,2.47183,6.56481,0.876052,0.623948,-0.998837,0.0482258,2.781,0.0569352,-12.9509,-14.4492,-14.2453,-13.826,2.73875,2.81109,2.80125
0.415355,-5.61612,0.161464,-3.10155,2.52876,6.46762,0.878634,0.621366,-0.999016,0.0443563,2.72592,0.0567648,-12.9508,-14.4493,-14.2435,-13.8285,2.68694,2.75348,2.74434
0.410616,-5.17432,0.174745,-3.09314,2.58553,6.42406,0.880922,0.619078,-0.999189,0.0402651,2.67109,0.0565882,-12.9506,-14.4494,-14.2411,-13.8309,2.63562,2.69602,2.68762
0.405583,-4.75806,0.18755,-3.08409,2.64212,6.38366,0.882968,0.617032,-0.999354,0.0359466,2.61653,0.0564053,-12.9505,-14.4496,-14.2383,-13.8329,2.58479,2.63871,2.63111
0.400227,-4.36966,0.199865,-3.0744,2.69852,6.34628,0.884852,0.615148,-0.999507,0.031395,2.56225,0.0562163,-12.9504,-14.4496,-14.2348,-13.8348,2.53447,2.58156,2.57481
0.394522,-4.00569,0.211586,-3.06412,2.75474,6.31176,0.886372,0.613628,-0.999646,0.026604,2.50825,0.0560211,-12.9503,-14.4497,-14.2307,-13.8363,2.48467,2.52457,2.51874
0.388446,-3.66422,0.222761,-3.05326,2.81076,6.27995,0.887616,0.612384,-0.999767,0.0215671,2.45454,0.05582,-12.9502,-14.4499,-14.226,-13.8376,2.4354,2.46775,2.46292
0.38198,-3.34445,0.233401,-3.04185,2.86658,6.25071,0.888649,0.611351,-0.999868,0.0162775,2.40115,0.0556123,-12.9501,-14.4499,-14.2206,-13.8386,2.38668,2.4111,2.40737
0.37511,-3.04569,0.243498,-3.02992,2.92219,6.2239,0.889349,0.610651,-0.999942,0.0107278,2.34807,0.0553983,-12.9501,-14.45,-14.2144,-13.8394,2.33853,2.35462,2.35209
0.367822,-2.50871,0.262029,-3.00462,2.97759,6.17702,0.889764,0.610236,-0.999988,0.0049105,2.29531,0.0551774,-12.95,-14.45,-14.2076,-13.8398,2.29094,2.29831,2.29712
0.360109,-2.26942,0.270452,-2.99131,3.03277,6.15668,0.889877,0.610123,-0.999999,-0.0011823,2.2429,0.0549493,-12.95,-14.45,-14.2,-13.8399,2.24395,2.24218,2.24247
0.351966,-2.04893,0.278311,-2.97758,3.08772,6.13822,0.889645,0.610355,-0.999971,-0.007559,2.19082,0.0547133,-12.95,-14.45,-14.1916,-13.8396,2.19755,2.18621,2.18816
0.343391,-1.84679,0.285607,-2.96349,3.14243,6.12151,0.889093,0.610907,-0.999899,-0.0142283,2.13911,0.0544691,-12.9501,-14.4499,-14.1824,-13.8391,2.15176,2.13042,2.13422
0.334386,-1.66344,0.292343,-2.94904,3.1969,6.10641,0.888205,0.611795,-0.999775,-0.0211992,2.08776,0.0542156,-12.9502,-14.4498,-14.1725,-13.8382,2.10659,2.07479,2.08067
0.324956,-1.4997,0.298503,-2.93427,3.25111,6.09277,0.886964,0.613036,-0.999594,-0.0284811,2.03679,0.0539523,-12.9503,-14.4497,-14.1617,-13.8369,2.06205,2.01933,2.02753
0.315111,-1.35286,0.304061,-2.91921,3.30507,6.08045,0.885354,0.614646,-0.999349,-0.036084,1.9862,0.0536782,-12.9505,-14.4495,-14.1502,-13.8353,2.01815,1.96403,1.97483
0.304861,-1.22246,0.30909,-2.90388,3.35875,6.06932,0.883362,0.616638,-0.999031,-0.0440179,1.93602,0.0533924,-12.9508,-14.4493,-14.1378,-13.8333,1.9749,1.90887,1.9226
0.294222,-1.10806,0.313604,-2.8883,3.41214,6.05924,0.880972,0.619028,-0.998632,-0.0522935,1.88623,0.0530939,-12.9511,-14.4491,-14.1247,-13.8309,1.9323,1.85386,1.87085
0.283212,-1.00921,0.317618,-2.87252,3.46523,6.05009,0.878411,0.621589,-0.998143,-0.0609215,1.83687,0.0527815,-12.9513,-14.4485,-14.1108,-13.8281,1.89038,1.799,1.81961
0.271851,-0.925497,0.321149,-2.85655,3.51801,6.04174,0.87523,0.62477,-0.997553,-0.0699134,1.78793,0.0524542,-12.9518,-14.4481,-14.0961,-13.8249,1.84912,1.74425,1.76892
0.260163,-0.856527,0.324214,-2.84041,3.57047,6.03408,0.871567,0.628433,-0.996852,-0.0792806,1.73943,0.0521111,-12.9524,-14.4477,-14.0806,-13.8212,1.80853,1.68961,1.7188
0.248176,-0.801954,0.326829,-2.82413,3.62258,6.02698,0.867454,0.632546,-0.996028,-0.0890349,1.69137,0.0517509,-12.9532,-14.4472,-14.0644,-13.8172,1.76861,1.63506,1.66928
0.235917,-0.761502,0.329014,-2.80772,3.67433,6.02032,0.86317,0.63683,-0.995069,-0.0991884,1.64378,0.0513728,-12.9538,-14.4464,-14.0474,-13.8127,1.72939,1.58061,1.62038
0.223419,-0.722374,0.33215,-2.77465,3.7257,6.00788,0.858239,0.641761,-0.993959,-0.109753,1.59665,0.0509756,-12.9547,-14.4456,-14.0298,-13.8077,1.69084,1.52621,1.57213
0.210715,-0.722374,0.333126,-2.75801,3.77668,6.00186,0.85298,0.64702,-0.992684,-0.120742,1.54999,0.0505587,-12.9556,-14.4446,-14.0115,-13.8023,1.65298,1.47187,1.52455
0.19784,-0.718121,0.333718,-2.74134,3.82724,5.99584,0.847166,0.652834,-0.991227,-0.132167,1.50383,0.0501212,-12.9567,-14.4436,-13.9926,-13.7964,1.6158,1.41754,1.47768
0.184833,-0.700152,0.333925,-2.72464,3.87736,5.98985,0.840808,0.659192,-0.989572,-0.144042,1.45816,0.0496624,-12.958,-14.4424,-13.973,-13.7901,1.57927,1.36321,1.43154
0.171732,-0.66879,0.333741,-2.70794,3.92702,5.98401,0.834311,0.665689,-0.987698,-0.156377,1.413,0.0491821,-12.9592,-14.4407,-13.9528,-13.7832,1.54347,1.3089,1.38614
0.15858,-0.624049,0.333151,-2.69127,3.9762,5.97841,0.827243,0.672757,-0.985584,-0.169185,1.36835,0.0486798,-12.9605,-14.4389,-13.9322,-13.7759,1.50831,1.25453,1.34152
0.145417,-0.624049,0.333151,-2.69127,4.02488,5.97841,0.818953,0.681047,-0.98321,-0.182479,1.32424,0.0481556,-12.9628,-14.4376,-13.911,-13.768,1.47368,1.19996,1.2977
0.132288,-0.565406,0.332126,-2.67463,4.07304,5.97319,0.810857,0.689143,-0.98055,-0.196269,1.28066,0.0476095,-12.9645,-14.4353,-13.8893,-13.7596,1.43981,1.1454,1.2547
0.119237,-0.492295,0.330632,-2.65806,4.12065,5.96846,0.802218,0.697782,-0.97758,-0.210566,1.23763,0.0470422,-12.9664,-14.4328,-13.8672,-13.7506,1.40655,1.0907,1.21252
0.106308,-0.402073,0.328581,-2.64157,4.16769,5.96433,0.792179,0.707821,-0.974271,-0.225379,1.19515,0.0464544,-12.9694,-14.4308,-13.8447,-13.7412,1.37369,1.03563,1.17119
0.0935479,-0.296207,0.325996,-2.62521,4.21414,5.96096,0.781962,0.718038,-0.970595,-0.240718,1.15325,0.0458469,-12.9721,-14.428,-13.8219,-13.7311,1.34148,0.980404,1.13073
0.0810019,-0.161451,0.322489,-2.60899,4.25999,5.95848,0.771605,0.728395,-0.966521,-0.256587,1.11192,0.0452221,-12.9747,-14.4245,-13.7988,-13.7205,1.3099,0.925024,1.09114
0.0687159,-0.0155162,0.318533,-2.59297,4.30521,5.95712,0.760338,0.739662,-0.962014,-0.273,1.07118,0.0445775,-12.9779,-14.4209,-13.7754,-13.7093,1.27875,0.869253,1.05242
0.0567349,0.0409855,0.316956,-2.5771,4.34979,5.95699,0.747472,0.752528,-0.957057,-0.289899,1.03104,0.0439193,-12.9822,-14.4178,-13.7519,-13.6976,1.24773,0.812881,1.01459
0.0450934,0.119291,0.31471,-2.5613,4.39371,5.95734,0.734063,0.765937,-0.951652,-0.307178,0.9915,0.0432585,-12.9866,-14.4141,-13.7281,-13.6852,1.21699,0.75622,0.977648
0.0338196,0.228786,0.311513,-2.54563,4.43697,5.95834,0.720269,0.779731,-0.945779,-0.324811,0.952571,0.0425989,-12.991,-14.4097,-13.7042,-13.6722,1.18652,0.699305,0.941586
0.0229408,0.359627,0.307617,-2.53014,4.47957,5.96026,0.705677,0.794323,-0.939411,-0.342794,0.914256,0.0419423,-12.9957,-14.4049,-13.6802,-13.6587,1.15616,0.641967,0.906392
0.0124832,0.359627,0.307617,-2.53014,4.52151,5.96026,0.690364,0.809636,-0.932523,-0.361112,0.876561,0.0412914,-13.0007,-14.3995,-13.6561,-13.6445,1.12586,0.584192,0.872053
0.0024721,0.518835,0.302808,-2.51488,4.5628,5.96327,0.673689,0.826311,-0.925088,-0.379752,0.83949,0.040649,-13.0065,-14.3941,-13.632,-13.6297,1.09532,0.525696,0.838551
-0.0070686,0.707116,0.297051,-2.4999,4.60345,5.96762,0.656449,0.843551,-0.917082,-0.398698,0.803048,0.0400179,-13.0123,-14.3879,-13.6078,-13.6143,1.06477,0.466726,0.805866
-0.0161165,0.922764,0.290379,-2.4852,4.64347,5.97354,0.637989,0.862011,-0.90848,-0.417929,0.76724,0.0394011,-13.0187,-14.3814,-13.5836,-13.5983,1.03387,0.406981,0.773975
-0.0246503,1.1633,0.282855,-2.47086,4.68287,5.98126,0.617732,0.882268,-0.899256,-0.437422,0.732071,0.0388022,-13.0262,-14.375,-13.5595,-13.5817,1.00228,0.346148,0.742854
-0.0326504,1.1633,0.282855,-2.47086,4.72167,5.98126,0.597067,0.902933,-0.889389,-0.457151,0.697546,0.0382243,-13.0334,-14.3674,-13.5353,-13.5644,0.970497,0.284769,0.712473
-0.040099,1.42543,0.27457,-2.45693,4.75989,5.99098,0.574487,0.925513,-0.878855,-0.477088,0.663671,0.0376711,-13.0416,-14.3599,-13.5112,-13.5465,0.937752,0.222119,0.682801
-0.0469797,1.69745,0.265856,-2.44343,4.79757,6.00286,0.550972,0.949028,-0.867636,-0.4972,0.630449,0.0371459,-13.0499,-14.3514,-13.4872,-13.528,0.904392,0.158592,0.653807
-0.0532782,1.94892,0.257569,-2.43033,4.83471,6.01698,0.526243,0.973757,-0.855713,-0.51745,0.597886,0.0366526,-13.0585,-14.342,-13.4632,-13.5088,0.870191,0.0940156,0.625455
-0.0589818,1.94892,0.257569,-2.43033,4.87136,6.01698,0.498965,1.00103,-0.843072,-0.537801,0.565987,0.0361947,-13.0683,-14.3329,-13.4393,-13.489,0.834331,0.02763,0.597708
-0.06408,2.16972,0.250017,-2.41765,4.90756,6.03316,0.470638,1.02936,-0.8297,-0.55821,0.534757,0.0357755,-13.078,-14.3226,-13.4154,-13.4685,0.797472,-0.0398425,0.570527
-0.0685643,2.3103,0.244577,-2.4053,4.94333,6.05111,0.440661,1.05934,-0.815589,-0.578632,0.504201,0.0353986,-13.088,-14.3114,-13.3915,-13.4474,0.759182,-0.108767,0.543875
-0.0724283,2.32059,0.242639,-2.39314,4.97873,6.07017,0.407738,1.09226,-0.800733,-0.599021,0.474324,0.035067,-13.0992,-14.3003,-13.3676,-13.4256,0.718567,-0.179965,0.51771
-0.075668,2.32059,0.242639,-2.39314,5.0138,6.07017,0.372166,1.12783,-0.785133,-0.619327,0.44513,0.0347836,-13.111,-14.2887,-13.3438,-13.4032,0.675623,-0.253368,0.491993
